Word,Count
,76
the,54
of,38
to,30
a,30
and,24
is,18
i,15
▻,15
in,14
for,14
this,13
watch,13
new,13
here,11
on,11
your,11
with,11
my,9
university,9
at,8
httpwwwfeatsockscomlogan,7
maverick,7
today,7
pair,7
get,7
vlog,7
by,7
about,7
socks,7
how,6
ghost,6
from,5
can,5
do,5
yesterdays,5
now,5
recon,5
talk,5
physics,5
are,5
life,5
as,5
you,5
all,4
what,4
more,4
science,4
trump,4
computers,4
one,4
that,4
10,4
green,4
channel,4
react,4
bruno,4
subscribe,4
it,4
make,4
thanks,4
world,4
engineering,4
book,4
magic,3
access,3
let,3
herr,3
explained,3
wars,3
hold,3
beauty,3
challenge,3
windshield,3
not,3
worlds,3
24k,3
out,3
drink,3
open,3
part,3
also,3
podcast,3
where,3
human,3
we,3
limits,3
mars,3
peppers,3
cant,3
vs,3
day,3
mom,3
like,3
into,3
support,3
wildlands,3
stanford,3
♥,3
up,3
us,3
an,3
nav,3
star,3
students,3
steve,2
follow,2
nite,2
rogue,2
worst,2
school,2
louis,2
kirschner,2
undercover,2
ted,2
discover,2
gator,2
video,2
experiment,2
full,2
100,2
kids,2
experience,2
social,2
makes,2
thats,2
app,2
use,2
next,2
live,2
music,2
themselves,2
me,2
chip,2
hugh,2
president,2
so,2
mcgill,2
through,2
its,2
2017,2
easier,2
james,2
crosswalk,2
lantern,2
house,2
year,2
quantum,2
our,2
album,2
research,2
lecture,2
snl,2
base,2
phd,2
gameplay,2
httpwwwsquarespacecomnutshell,2
beast,2
created,2
florida,2
american,2
place,2
story,2
interviews,2
greg,2
electric,2
who,2
url,2
his,2
handle,2
brain,2
episodes,2
bad,2
view,2
college,2
best,2
gage,2
3,2
360,2
available,2
both,2
glorious,2
jeff,2
tomlinson,2
hottest,2
walter,2
website,2
myself,2
will,2
fun,2
starkiller,2
reports,2
technology,2
things,2
week,2
uses,2
just,2
wednesday,2
cornell,2
crack,2
5,2
has,2
take,2
intel,2
people,2
twitter,2
some,2
litter,2
home,2
repair,2
nunes,2
why,2
lot,2
was,2
aoki,2
complete,2
but,2
official,2
skule,2
below,2
videos,2
test,2
lucie,2
breadth,1
dance,1
yellow,1
battle,1
chair,1
alu,1
gad,1
calculate,1
flash,1
obamacare,1
winfrey,1
hotest,1
edinger,1
song,1
far,1
internet,1
mph,1
jack,1
cool,1
tickets,1
pbs,1
gun,1
ryan,1
travels,1
diy,1
guy,1
shave,1
says,1
warns,1
go,1
httpstwittercomcomicsexplained,1
run,1
story”,1
universities,1
stands,1
cast,1
heres,1
sun,1
above,1
international,1
bird,1
led,1
tracks,1
les,1
elses,1
stem,1
every,1
preorder,1
chipped,1
incoming,1
inspired,1
30,1
itunes,1
survey,1
climb,1
homecoming,1
morticia,1
love,1
1t3,1
1t0,1
extra,1
clancys,1
win,1
prefer,1
f2,1
replace,1
apply,1
singing,1
yourself,1
httpsyoutubet2yf1juw1po,1
usa,1
httpsyoutubeir0jynhiauq,1
welcometostanford,1
vol,1
going,1
jonathan,1
httpswwwyoutubecomextrajoevideos,1
introducing,1
diamond,1
company,1
httpswwwcspanorgvideoc4661377031617budgethealthcare1,1
award,1
httpbitlyjimmy0010,1
emeritus,1
karaoke,1
join,1
5000,1
originally,1
creepy,1
learn,1
following,1
reviewing,1
control,1
crazy,1
westernjournalism,1
performed,1
dennis,1
returned,1
watching,1
httpnnnisthenewmedia,1
edinburgh,1
ft,1
may,1
stop,1
dive,1
womack,1
them,1
httpsitunesapplecomuspodcastshaneandfriendsid658136421mt2,1
short,1
httpsyoutubecs08ctv7thi,1
freestylers,1
overnight,1
healthcare,1
tall,1
volunteers,1
26100,1
unaids,1
typical,1
cute,1
lewins,1
httpsyoutubevsc6moevr28,1
over,1
soon,1
brit,1
radar,1
logan,1
looks,1
committee,1
bunch,1
gta,1
limbs,1
interesting,1
fix,1
actually,1
degrees,1
2015,1
main,1
2011,1
count,1
designs,1
someone,1
return,1
dan,1
httpsurveymonkeycomrpbsds2017,1
academics,1
course,1
httpwwwtwittercomkylekulinski,1
legendary,1
hall,1
name,1
truths,1
lucy,1
neuroscientist,1
bursts,1
went,1
signing,1
generation,1
idea,1
brother,1
celebrating,1
connect,1
80,1
robot,1
special,1
matt,1
gomez,1
borderline,1
oprah,1
hydraulic,1
ren,1
7,1
litterati,1
eternal,1
free,1
york,1
httpswwwfacebookcomcomicsexplained,1
soundcloud,1
british,1
keep,1
httpsbrunomrs24kmagic,1
turn,1
davis,1
moving,1
first,1
xo,1
evans,1
stevens,1
number,1
walkthrough,1
httpwwwtheaddamsfamilycouk,1
bionic,1
ring,1
city,1
silent,1
leading,1
their,1
2,1
blakely,1
tom,1
flagpole,1
legs,1
ilmxlab,1
stars,1
took,1
authors,1
theater,1
obama,1
toronto,1
kind,1
16,1
fundamental,1
project,1
stalk,1
surveilled,1
knights,1
joe,1
modern,1
voices,1
mcgillcaadmissions,1
httpstwittercombeatsbynav,1
need,1
linked,1
it”,1
check,1
studying,1
shockey,1
chairman,1
babes,1
pranks,1
mit,1
pain,1
centre,1
corden,1
connected,1
alarmed,1
hardships,1
sub,1
forever,1
operate,1
episode,1
professor,1
sale,1
face,1
clean,1
eisen,1
senior,1
show,1
freshmen,1
supported,1
discovered,1
ever,1
lewin,1
transphobia,1
earth,1
darkest,1
feat,1
copyright,1
winner,1
collapses,1
kidsteenseldersadultsyoutubers,1
version,1
“im,1
goes,1
luke,1
mission,1
watercolor,1
donald,1
during,1
​feet,1
years,1
him,1
rebirth,1
racing,1
teams,1
qa,1
medias,1
wish,1
including,1
httpgoogl65evwq,1
intelligence,1
national,1
carpool,1
special—its,1
httpswwwyoutubecomwatchv0jkxtile2nk,1
see,1
computer,1
arm,1
youth,1
review,1
manowar,1
teens,1
warrior,1
omg,1
exam,1
were,1
boss,1
awards,1
answers,1
news,1
hits,1
accident,1
last,1
httpsyoutubehwkmjhgjgiu,1
against,1
flipped,1
tour,1
became,1
gamer,1
natures,1
fester,1
simple,1
lanterns,1
httpamznto2nn6mwk,1
poll,1
speak,1
devin,1
create,1
three,1
pc,1
scarecrow,1
bionics,1
great,1
else,1
httpwwwsoundcloudcomthebasementyard,1
personally,1
immersive,1
talent,1
fellow,1
httpsyoutubeggl0rh9o3v8,1
spirit,1
soccer,1
look,1
▻subscribe,1
while,1
ultra,1
10000,1
orientation,1
resident,1
demo,1
insanely,1
hoax,1
im,1
crash,1
superheroes,1
